EmployeeNo,Gender,Age,MaritalStatus,Degree,Tier,Track,PrimaryCEG,SecondaryCEG,PerformanceRating,PotentialRating,PerDayRate,CostToCompany,EmployeeRatedEnvirementSatisfaction,EmployeeRatedJobInvolvement,EmployeeRatedJobSatisfaction,EmployeeratedRelationshipSatisfaction,EmployeeratedWorkLifeBalance,DateOfJoining,LastPromotionDate,CompanyTenure,RoleTenure,ElapsedPromotion,ManagerTenure,Longevity,Attrition
10000297,Male,18,Single,Software Engineering,5,Technology,,,3,0,0,0,3,3,3,3,3,22-Jan-22,22-Jan-22,0.8,0.8,0,0.8,0,1
10000302,Female,18,Single,Software Engineering,5,Quality,,,3,0,0,0,4,2,3,1,3,22-Feb-22,22-Feb-22,0.7,0.7,0,0.7,0,0
10000458,Male,18,Single,Software Engineering,5,Quality,,,3,0,0,0,2,3,2,4,3,22-Jun-22,22-Jun-22,0.4,0.4,0,0.4,0,1
10000728,Male,18,Single,Software Engineering,5,Technology,,,3,0,0,0,2,3,4,4,3,22-Mar-22,22-Mar-22,0.6,0.6,0,0.6,0,0
10000829,Male,18,Single,Software Engineering,5,Technology,,,3,0,0,0,3,3,3,4,3,22-Jul-22,22-Jul-22,0.3,0.3,0,0.3,0,1
10000973,Female,18,Single,Software Engineering,5,Technology,,,3,0,0,0,4,3,4,3,4,22-Apr-22,22-Apr-22,0.5,0.5,0,0.5,0,0
10001154,Female,18,Single,Software Engineering,5,Quality,,,3,0,0,0,2,3,4,3,4,22-Dec-21,22-Dec-21,0.9,0.9,0,0.9,0,1
10001312,Female,18,Single,Software Engineering,5,Technology,,,3,0,0,0,2,3,3,3,1,22-Apr-22,22-Apr-22,0.5,0.5,0,0.5,0,0
10000128,Male,19,Single,Software Engineering,1,Quality,,,3,0,0,0,4,3,3,4,2,22-Mar-22,22-Mar-22,0.6,0.6,0,0.6,0,1
10000150,Female,19,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,2,4,3,22-Mar-21,22-Mar-21,1.6,1.6,0,1.6,0,0
10000172,Female,19,Single,Software Engineering,1,Quality,,,4,0,0,0,3,1,1,1,4,22-Aug-22,22-Aug-22,0.2,0.2,0,0.2,0,1
10000178,Male,19,Single,Software Engineering,1,Technology,,,4,0,0,0,2,2,4,3,2,22-Apr-21,22-Apr-21,1.5,1.5,1,1.5,0,1
10000423,Male,19,Single,Software Engineering,1,ASM,,,3,0,0,0,1,2,4,3,4,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,1
10000689,Male,19,Single,Software Engineering,1,Quality,,,3,0,0,0,4,2,2,2,4,22-Jul-21,22-Jul-21,1.3,1.3,0,1.3,0,1
10000854,Male,19,Single,Software Engineering,1,Technology,,,4,0,0,0,3,3,1,3,3,22-Jan-21,22-Oct-21,1.8,1,0,1,0,0
10000893,Female,19,Single,Software Engineering,1,Technology,,,4,0,0,0,1,2,2,2,4,22-Feb-21,22-Oct-21,1.7,1,0,1,0,1
10000910,Female,19,Single,Software Engineering,1,Technology,,,3,0,0,0,2,4,4,4,3,22-Aug-21,22-Aug-21,1.2,1.2,0,1.2,0,0
10001442,Male,19,Single,Software Engineering,2,Technology,,,4,0,0,0,3,3,3,1,2,22-Oct-20,22-Oct-21,2.0,1,1,1,0,0
10001445,Male,19,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,4,1,22-Dec-20,22-Oct-21,1.9,1,1,1,0,1
10000103,Female,20,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,4,2,3,22-Feb-21,22-Feb-21,1.7,1.7,1,1.7,0,1
10000488,Female,20,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,2,4,4,22-Dec-20,22-Dec-20,1.9,1.9,0,1.9,0,0
10000514,Male,20,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,4,3,22-Feb-21,22-Feb-21,1.7,1.7,1,1.7,0,1
10000663,Female,20,Single,Software Engineering,1,Quality,,,3,0,0,0,3,2,3,4,2,22-Oct-19,22-Oct-20,3.0,2,0,2,0,1
10000690,Male,20,Single,Software Engineering,1,Technology,,,3,0,0,0,1,3,1,2,3,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,1
10000732,Female,20,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,1,3,22-Dec-20,22-Dec-20,1.9,1.9,0,1.9,0,1
10000777,Female,20,Single,Software Engineering,1,Quality,,,3,0,0,0,4,3,4,2,3,22-Mar-20,22-Oct-20,2.6,2,0,2,0,1
10000857,Male,20,Single,Software Engineering,1,Technology,,,3,0,0,0,1,2,3,1,2,22-Sep-20,22-Oct-20,2.1,2,1,2,0,0
10000877,Male,20,Single,Software Engineering,1,Quality,,,3,0,0,0,3,4,4,4,3,22-Dec-19,22-Oct-21,2.9,1,1,1,0,0
10001179,Female,20,Single,Software Engineering,1,Quality,,,3,0,0,0,3,3,3,1,3,22-Jan-20,22-Oct-20,2.8,2,1,2,0,0
10001198,Male,20,Single,Software Engineering,1,Quality,,,3,0,0,0,4,3,1,1,3,22-Oct-19,22-Oct-20,3.0,2,0,2,0,0
10000024,Male,21,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,4,3,22-Jan-22,22-Jan-22,0.8,0.8,0,0.8,0,0
10000275,Male,21,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,3,1,4,22-Aug-19,22-Oct-20,3.2,2,1,2,1,0
10000358,Female,21,Single,Software Engineering,1,Quality,,,3,0,0,0,1,2,2,3,3,22-Oct-18,22-Oct-20,4.0,2,1,2,1,1
10000363,Male,21,Single,Software Engineering,1,Quality,,,4,0,0,0,1,3,4,3,2,22-Oct-18,22-Oct-20,4.0,2,2,2,1,0
10000371,Female,21,Single,Software Engineering,1,Quality,,,3,0,0,0,3,4,2,4,3,22-Apr-21,22-Apr-21,1.5,1.5,0,1.5,0,1
10000497,Male,21,Single,Software Engineering,1,Quality,,,3,0,0,0,3,3,3,3,3,22-Oct-18,22-Oct-20,4.0,2,1,2,1,0
10000664,Female,21,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,1,2,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,1
10000778,Female,21,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,1,1,2,22-Apr-21,22-Apr-21,1.5,1.5,1,1.5,0,1
10000816,Female,21,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,2,3,4,22-Jun-20,22-Oct-20,2.4,2,2,2,0,0
10000916,Female,21,Single,Software Engineering,1,Technology,,,4,0,0,0,1,2,3,3,1,22-Jan-20,22-Oct-20,2.8,2,2,2,0,1
10001153,Male,21,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,3,22-Jul-20,22-Oct-20,2.3,2,2,2,0,0
10001204,Male,21,Single,Software Engineering,3,Technology,,,3,0,0,0,2,4,4,3,3,22-Apr-18,22-Oct-19,4.5,3,1,3,1,0
10001269,Female,21,Single,Software Engineering,4,Technology,,,4,0,0,0,1,2,3,4,2,22-Apr-19,22-Oct-20,3.5,2,0,2,1,0
10001272,Male,21,Single,Software Engineering,1,Quality,,,3,0,0,0,2,3,2,2,3,22-Mar-21,22-Mar-21,1.6,1.6,1,1.6,0,1
10001302,Male,21,Single,Software Engineering,4,Quality,,,4,0,0,0,2,3,2,4,2,22-Aug-06,22-Oct-13,16.2,9,12,9,1,0
10001306,Female,21,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,4,2,2,22-Sep-15,22-Oct-21,7.1,1,1,1,1,0
10001311,Male,21,Single,Software Engineering,4,Technology,,,3,0,0,0,1,3,3,2,3,22-Mar-20,22-Oct-20,2.6,2,2,2,0,0
10001355,Male,21,Single,Software Engineering,1,Technology,,,3,0,0,0,1,3,4,4,3,22-Apr-18,22-Oct-20,4.5,2,1,2,1,1
10001372,Female,21,Single,Software Engineering,2,Quality,,,3,0,0,0,4,2,1,3,3,22-Aug-22,22-Aug-22,0.2,0.2,0,0.2,0,0
10001375,Female,21,Single,Software Engineering,4,Quality,,,3,0,0,0,4,3,4,3,2,22-Jul-21,22-Jul-21,1.3,1.3,0,1.3,0,0
10001397,Male,21,Single,Software Engineering,3,Quality,,,3,0,0,0,1,3,1,2,2,22-Feb-20,22-Oct-20,2.7,2,2,2,0,1
10001398,Female,21,Single,Software Engineering,2,Technology,,,3,0,0,0,1,3,3,3,2,22-Mar-18,22-Oct-19,4.6,3,2,3,1,0
10001407,Female,21,Single,Software Engineering,2,Technology,,,3,0,0,0,3,3,1,4,3,22-Jul-17,22-Oct-20,5.3,2,1,2,1,0
10001435,Male,21,Single,Software Engineering,1,Quality,,,3,0,0,0,1,3,4,2,2,22-Aug-13,22-Oct-14,9.2,8,0,8,1,0
10001437,Male,21,Single,Software Engineering,1,Quality,,,3,0,0,0,3,3,1,4,3,22-Feb-20,22-Oct-20,2.7,2,1,2,0,0
